YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1922  999.9  999.9  999.9  999.9   11.4   14.2   17.1   15.7   11.6    3.7   -0.5   -2.3   999.9   999.9    15.7     4.9  999.90
1923   -1.5   -8.2    1.4    4.0   11.4   11.6   17.1   14.5   13.1    8.4    2.6   -3.9    -4.0     5.6    14.4     8.0    6.01
1924  -10.6   -7.1   -3.3    3.1   12.9   15.9   15.8   15.9   13.6    8.0    1.4   -2.6    -7.2     4.2    15.9     7.7    5.14
1925    0.3    1.4   -0.4    7.5   14.2   13.1   18.4   15.7   11.1    5.1   -0.4   -4.0    -0.3     7.1    15.7     5.3    6.95
1926   -6.5   -3.8   -1.5    6.2   12.9   15.5   18.0   14.8   12.0    4.8    5.5   -4.7    -4.8     5.9    16.1     7.4    6.16
1927   -6.6   -5.5    1.8    4.4    8.3   14.4   19.7   17.3   12.7    6.8   -1.0   -8.3    -5.6     4.8    17.1     6.2    5.63
1928   -3.6   -5.0   -2.3    5.0   11.2   11.4   15.7   14.1   11.2    6.6    4.7   -4.7    -5.6     4.6    13.7     7.5    5.06
1929  -10.5  -16.6   -4.4    0.3   13.1   12.4   15.4   16.4   12.1    8.8    3.0    0.0   -10.6     3.0    14.7     8.0    3.78
1930   -1.5   -3.9    0.3    7.4   11.7   15.6   16.7   15.8   10.2    7.8    2.8   -5.0    -1.8     6.5    16.0     6.9    6.91
1931   -5.4   -7.1   -4.7    3.0   15.0   13.6   17.2   15.8    9.6    5.3    0.0   -2.3    -5.8     4.4    15.5     5.0    4.78
1932   -1.2   -8.9   -5.7    5.3   14.2   13.8   19.9   17.2   13.8    7.2    1.7   -0.2    -4.1     4.6    17.0     7.6    6.25
1933   -8.8   -5.3    0.2    3.5   10.2   14.2   17.7   14.6   11.7    6.5   -0.9   -8.9    -4.8     4.6    15.5     5.8    5.28
1934   -3.9   -1.7    1.1    8.2   13.2   14.9   17.8   17.3   14.6    9.1    4.0   -4.2    -4.8     7.5    16.7     9.2    7.14
1935   -8.4   -2.9   -0.3    5.8    8.9   16.9   14.9   15.7   12.3    8.6    0.8   -1.4    -5.2     4.8    15.8     7.2    5.68
1936   -1.3   -7.3    1.8    6.2   13.2   17.1   19.6   16.2   10.6    3.9    1.9   -0.6    -3.3     7.1    17.6     5.5    6.71
1937   -9.0   -4.0   -0.3    7.0   15.5   16.8   16.8   18.3   14.7    7.5    1.8   -6.7    -4.5     7.4    17.3     8.0    7.04
1938   -4.3   -2.0    3.6    4.0   10.8   14.9   18.1   19.0   13.5    8.4    3.9   -6.1    -4.3     6.1    17.3     8.6    6.93
