YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	DJF	MAM	JJA	SON	metANN
1880	-1.2	0.7	2.1	7.5	11.1	15.5	17.9	18.3	14.9	6.0	4.0	1.8	0.3	6.9	17.2	8.3	8.19
1881	-3.8	-2.3	-0.4	4.4	11.7	15.5	16.9	15.3	12.6	6.6	5.7	3.2	-1.4	5.2	15.9	8.3	7.00
1882	2.7	3.1	5.6	7.5	11.6	15.2	18.1	16.8	14.9	9.3	3.1	-0.2	3.0	8.2	16.7	9.1	9.26
1883	0.0	1.5	-1.0	5.6	11.9	16.7	18.2	16.1	13.7	9.2	5.6	1.9	0.4	5.5	17.0	9.5	8.11
1884	3.2	3.2	3.3	5.4	11.5	15.0	18.1	17.3	15.5	9.3	1.9	1.8	2.8	6.7	16.8	8.9	8.80
1885	0.1	1.8	2.6	7.5	9.7	15.4	17.8	14.6	12.1	6.9	3.0	1.5	1.2	6.6	15.9	7.3	7.78
1886	0.1	-1.4	-0.4	7.4	11.9	15.0	16.4	16.8	14.2	9.6	6.1	0.9	0.1	6.3	16.1	10.0	8.10
1887	-0.2	0.4	1.7	6.2	10.7	15.9	18.2	16.1	13.1	6.9	3.9	0.8	0.4	6.2	16.7	8.0	7.82
1888	-0.4	-1.6	-2.7	3.3	10.9	14.6	15.4	15.5	13.1	6.9	4.4	3.3	-0.4	3.8	15.2	8.1	6.68
1889	0.0	-2.8	-0.1	5.8	14.7	19.9	17.0	15.7	11.4	9.3	5.3	1.1	0.2	6.8	17.5	8.7	8.29
1890	2.4	0.3	3.3	6.5	13.4	14.7	15.8	16.5	14.0	8.3	4.6	-1.7	1.3	7.7	15.7	9.0	8.41
1891	-3.0	0.8	1.5	5.4	11.4	15.0	18.1	15.5	14.2	10.8	3.7	3.1	-1.3	6.1	16.2	9.6	7.64
1892	-0.6	0.2	1.0	6.4	11.5	15.1	16.2	16.7	13.8	8.3	4.7	-1.0	0.9	6.3	16.0	8.9	8.03
1893	-6.2	-2.2	2.9	7.4	11.4	16.1	18.4	17.4	12.3	9.5	3.1	3.3	-3.1	7.2	17.3	8.3	7.43
1894	0.3	1.8	4.4	8.2	11.5	16.0	18.5	16.1	11.5	7.2	6.8	3.1	1.8	8.0	16.9	8.5	8.80
1895	-1.2	-5.7	0.9	7.7	13.3	16.4	16.6	16.9	14.4	8.0	5.1	0.7	-1.3	7.3	16.6	9.2	7.96
1896	0.8	2.0	3.6	6.3	11.9	18.9	19.0	16.1	13.2	9.4	3.1	0.7	1.2	7.3	18.0	8.6	8.75
1897	-1.7	-0.3	2.7	6.5	11.9	17.4	17.0	18.7	12.9	8.0	4.8	3.1	-0.4	7.0	17.7	8.6	8.22
1898	3.7	1.8	2.0	5.2	10.4	15.1	14.6	16.8	13.8	8.6	6.1	4.6	2.9	5.9	15.5	9.5	8.43
1899	2.0	2.1	1.9	6.7	11.8	15.4	19.4	17.0	12.7	8.5	7.6	-0.1	2.9	6.8	17.3	9.6	9.14
1900	0.0	-0.8	0.6	5.5	9.8	16.3	18.1	17.2	13.4	8.6	5.5	3.9	-0.3	5.3	17.2	9.2	7.84
1901	-1.1	-3.0	1.1	6.6	12.6	15.0	20.3	17.9	14.0	10.7	3.8	1.5	-0.1	6.8	17.7	9.5	8.48
1902	3.2	-1.9	2.1	5.0	9.1	15.2	15.1	13.7	11.4	7.7	3.1	0.0	0.9	5.4	14.7	7.4	7.10
1903	0.7	3.1	5.1	4.7	12.5	15.9	16.8	14.6	12.8	8.5	3.7	1.3	1.3	7.4	15.8	8.3	8.20
1904	0.6	0.0	1.8	6.9	10.6	15.3	17.5	16.5	13.2	8.5	4.8	3.2	0.6	6.4	16.4	8.8	8.08
1905	0.2	1.1	3.1	4.2	12.3	17.5	18.0	16.3	12.7	5.4	3.8	2.1	1.5	6.5	17.3	7.3	8.15
1906	1.3	0.8	2.0	7.9	13.3	16.8	17.5	17.0	13.8	9.8	7.5	-0.7	1.4	7.7	17.1	10.4	9.15
1907	0.0	-0.4	2.3	5.3	10.8	14.1	15.9	14.4	12.5	12.1	5.1	1.5	-0.4	6.1	14.8	9.9	7.62
1908	0.3	1.9	1.5	5.2	11.0	15.8	18.7	16.0	12.8	9.6	2.9	1.3	1.2	5.9	16.8	8.4	8.10
1909	0.2	-1.9	-0.3	4.8	9.2	14.7	15.7	15.8	12.7	11.3	1.8	2.3	-0.1	4.6	15.4	8.6	7.11
1910	1.3	1.9	3.8	7.0	12.3	17.2	17.4	16.9	13.3	9.4	3.3	3.2	1.8	7.7	17.2	8.7	8.84
1911	1.5	1.6	2.9	6.8	13.6	15.4	17.4	18.6	14.4	8.7	5.5	3.5	2.1	7.8	17.1	9.5	9.13
1912	-2.2	-1.3	4.0	6.5	11.1	15.2	19.2	15.6	10.8	7.4	3.6	4.5	-0.0	7.2	16.7	7.3	7.78
1913	0.3	1.4	4.3	7.3	12.7	15.4	16.6	15.7	13.4	9.1	7.2	2.8	2.1	8.1	15.9	9.9	8.99
1914	-0.5	3.4	3.1	8.6	11.6	16.4	20.6	17.9	13.5	8.9	4.2	4.0	1.9	7.8	18.3	8.9	9.21
1915	-0.1	0.7	0.2	6.9	10.9	15.4	16.3	15.8	12.9	7.0	2.8	0.8	1.5	6.0	15.8	7.6	7.73
