YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1932  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   -0.5   999.9   999.9   999.9   999.9  999.90
1933   -5.9   -2.0    2.5   13.1   20.8   22.4   26.4   24.7   21.1   12.6    3.9   -0.9    -2.8    12.1    24.5    12.5   11.59
1934   -5.5    0.6    4.1   12.3   21.0   23.8   26.9   24.1   19.7   12.1    4.5   -0.4    -1.9    12.5    24.9    12.1   11.89
1935   -2.8    1.9    8.0   15.3   20.9   24.5   26.7   25.9   22.3   15.3    3.4   -6.5    -0.4    14.7    25.7    13.7   13.42
1936   -7.1   -4.5    2.1   12.8   20.0   25.6   27.2   25.6   20.6   14.2    4.3   -1.7    -6.0    11.6    26.1    13.0   11.19
1937   -3.4   -0.5    3.8   12.6   21.6   24.6   26.8   25.7  999.9  999.9  999.9  999.9    -1.9    12.7    25.7   999.9   12.28
1938  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1939   -4.7   -1.1    5.4   14.2   19.7   24.5   26.8   27.4   19.5   12.6    2.8   -1.5    -2.7    13.1    26.2    11.6   12.06
1940   -6.1   -1.5    6.8   14.5   21.2   23.7   26.8   22.7   20.3   13.9    4.2   -1.6    -3.0    14.2    24.4    12.8   12.08
1941   -3.9   -2.3    6.4   13.0   20.8   23.8   26.5   25.2   21.3   13.1    5.2   -1.8    -2.6    13.4    25.2    13.2   12.29
1942   -4.2   -3.2    7.8   14.6   19.1   27.5   27.3   25.2   20.8   12.9    5.6   -1.8    -3.1    13.8    26.7    13.1   12.63
1943   -5.9   -0.5    7.1   14.1   21.1   26.9   27.9   25.8   19.5   14.5    4.5   -1.8    -2.7    14.1    26.9    12.8   12.77
1944   -3.0   -1.3    5.7   13.5   19.6   25.8   27.7   24.9   21.1   13.4    4.0   -5.9    -2.0    12.9    26.1    12.8   12.47
1945   -5.7   -4.0    4.4   17.0   20.0   25.6   27.3   26.3   20.7   13.8    7.2   -1.4    -5.2    13.8    26.4    13.9   12.22
1946   -3.2    0.3    3.0   14.8   19.3   26.9   27.0   25.6   20.5   14.2    6.0   -4.3    -1.4    12.4    26.5    13.6   12.75
1947   -6.2   -4.7    2.5   15.3   20.3   24.2   26.2   25.1   18.7   11.8    1.1   -5.8    -5.1    12.7    25.2    10.5   10.83
