id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11703409,Big cozy apartment in a quiet area,1621832,Dominik,,Frederiksberg,55.677089995421944,12.502233697131864,Entire home/apt,589,1,16,2017-06-14,1.30,1,262
16300314,Copenhagen apartment for your Copenhagen vacation,106646306,Tobias,,Frederiksberg,55.68773984895595,12.504189701823933,Entire home/apt,497,4,1,2017-04-16,0.49,1,0
18152717,Lovely room close to city center in a calm area,62823209,Marius,,Frederiksberg,55.68297358112011,12.54086402941687,Private room,298,2,2,2017-04-17,0.97,2,0
17309528,Big and cozy apt. with central location,24378880,Julie Burup,,Frederiksberg,55.68015586692438,12.519948732574353,Entire home/apt,848,3,7,2017-05-28,2.02,1,0
16864730,Modern appartment in City center,86707238,Maria,,Frederiksberg,55.680226142399185,12.539699734052752,Entire home/apt,702,1,3,2017-01-29,0.62,2,165
13766533,"Spacious, light apartment in the Copenhagen heart",34954837,Aiste,,Frederiksberg,55.67679822515411,12.544955517228743,Entire home/apt,450,2,12,2017-03-26,1.09,1,0
19223755,Bright and cozy apartment centrally located,6143411,Ondrej,,Frederiksberg,55.67892071029963,12.54516790529244,Entire home/apt,603,2,0,,,1,16
8986448,Cool apartment close to the city.,46946093,Kim,,Frederiksberg,55.67608190836082,12.51087803978503,Private room,325,1,58,2017-05-14,2.97,1,42
5443160,Charming Copenhagen town house,28232441,Pia,,Frederiksberg,55.681689103700336,12.499260418287584,Entire home/apt,1248,2,7,2016-08-01,0.30,1,10
7529914,Central lejlighed,39460750,,,Frederiksberg,55.68581940361558,12.501108743748999,Entire home/apt,596,1,0,,,1,0
3536990,Perfectly located family friendly  ,17807602,Anja,,Frederiksberg,55.67314596540595,12.542190034486874,Entire home/apt,848,5,12,2016-10-20,0.35,1,13
12207328,Attractive Room in Apartment,39906227,Camilla,,Frederiksberg,55.683345924326915,12.517003874151472,Private room,398,1,0,,,1,181
7234028,"Central, cozy, safe & bright!",37875991,Jesper,,Frederiksberg,55.679260646608995,12.546390661882407,Entire home/apt,848,3,9,2017-01-02,0.39,1,280
9965543,Cozy flat close to city center,2365678,Elham,,Frederiksberg,55.6843503600178,12.516243850199153,Entire home/apt,682,3,1,2016-01-01,0.06,1,0
4948180,10 minutter fra CBS. Fint og lyst værelse til leje,25502926,Cecilia,,Frederiksberg,55.67896768743757,12.51744649393883,Private room,152,1,0,,,1,0
6458324,Beautyfull luxury apartment 140 sqm,33727826,Line,,Frederiksberg,55.6762552160245,12.551483057248857,Entire home/apt,1596,1,43,2017-01-01,1.71,1,278
6911855,Big room near metro and S-train,36220928,Lasse,,Frederiksberg,55.68099127783092,12.5031539306531,Private room,364,1,10,2016-12-26,0.42,1,0
6999760,Fantastisk lejlighed m/ skøn udsigt,10997883,May,,Frederiksberg,55.670622567949664,12.53672311531906,Entire home/apt,1000,3,0,,,1,0
1335948,Scandinavian design style apartment,7218403,Chamara,,Frederiksberg,55.67081201755357,12.533271759157739,Entire home/apt,702,2,26,2017-06-06,1.12,1,29
6991135,A flat with a view,35277341,Mathilde,,Frederiksberg,55.67759142400626,12.52292974955221,Entire home/apt,603,1,2,2015-07-23,0.09,1,0
13939864,Safest district with direct airport connection,40901233,Rafa,,Frederiksberg,55.68091174866894,12.522116256583436,Entire home/apt,596,2,11,2017-05-13,1.16,1,32
6252418,"Sunny, large room w balcony",13034983,Lisbeth,,Frederiksberg,55.68406635389292,12.504148465964649,Private room,550,2,4,2016-08-22,0.16,2,359
15246299,"Cosy apartment w. balcony, in city",69823451,Clara,,Frederiksberg,55.680992120709874,12.548351386597453,Private room,748,1,0,,,1,0
4609483,Big and lovely room near the city center!,23884082,Lærke,,Frederiksberg,55.68314075750191,12.55004999507124,Private room,351,2,62,2017-06-11,2.00,1,274
12908759,Bright room in central CPH,7875982,Christina,,Frederiksberg,55.68191716657835,12.547543690283382,Private room,371,10,6,2016-08-27,0.48,2,0
16689467,Modern apartmemt with 2 balconies,5721092,Nicoline,,Frederiksberg,55.6781160538827,12.552303421544856,Entire home/apt,1398,2,3,2017-05-28,1.20,1,101
19099146,"Cozy, Bright Apartment at Charming Frederiksberg",133420825,Trine,,Frederiksberg,55.687894607300564,12.539357965972536,Entire home/apt,748,4,0,,,1,37
3150389,Perfectly located 97m2 apt with balcony,14935754,Mikkel,,Frederiksberg,55.686199374472,12.539992031433522,Entire home/apt,651,3,2,2016-08-18,0.08,1,0
3045833,Perfect location on Frederiksberg..,15508860,Maria,,Frederiksberg,55.67819448397147,12.53983593901949,Entire home/apt,497,3,10,2017-04-24,0.76,1,28
15564891,Central cosy room next to Metro,39174373,Malene,,Frederiksberg,55.68216867034093,12.535706139592165,Private room,497,1,1,2016-10-31,0.13,2,24
18370495,Fully equipped in beautiful surroundings,127202863,Christian,,Frederiksberg,55.67803811185752,12.53007316665979,Entire home/apt,550,3,14,2017-06-13,8.94,1,40
19115574,Røde Baghus stuen til højre,49534423,Hans,,Frederiksberg,55.67758202821358,12.536892595025297,Private room,258,4,0,,,8,208
3309963,Nice and quiet home near city,16713394,Iben,,Frederiksberg,55.67259842761084,12.533061400518939,Entire home/apt,967,5,0,,,1,0
12097679,Hyggelig og rolig stuelejlighed,64859176,Kristian Steen,,Frederiksberg,55.678156625813585,12.522854984547678,Entire home/apt,947,4,0,,,1,0
632114,Apart in the heart of Frederiksberg,3144783,Rune,,Frederiksberg,55.68387880269294,12.53613534246864,Entire home/apt,411,4,11,2017-03-27,0.19,1,0
6920433,"Central, spacious, quiet and cozy",6165048,Marie,,Frederiksberg,55.67705897796773,12.549414695036644,Entire home/apt,1000,3,9,2017-04-14,0.38,1,257
6088212,Hidden gem – large sun terrace,31596058,Karin,,Frederiksberg,55.67987987545091,12.551218689011971,Entire home/apt,1298,1,0,,,1,0
18546622,Charming apartment in the heart of Frederiksberg,76730522,Klara,,Frederiksberg,55.67939274368542,12.529426138570203,Entire home/apt,497,7,1,2017-05-07,0.73,1,21
3581466,Centralt placeret UNIK lejlighed,2860679,Karen Maj,,Frederiksberg,55.68133583641881,12.533319057342934,Entire home/apt,2053,2,103,2017-06-12,3.17,1,296
19235952,Big flat in center of Frederiksberg(Copenhagen),19401481,Amalie,,Frederiksberg,55.6829460476614,12.53731792939193,Entire home/apt,523,3,0,,,1,1
2676815,Charmerende hus i Den Hvide By,13704985,Grethe,,Frederiksberg,55.67833218938295,12.51391918433132,Entire home/apt,1702,4,0,,,1,22
14937706,"Spacious, cosy and full of light duplex-110m2",2986084,Marie,,Frederiksberg,55.682698463746,12.522083652937672,Entire home/apt,1152,2,1,2016-10-13,0.12,1,44
8835844,Nice Bright room in Frederiksberg,44264169,Martin,,Frederiksberg,55.688246460863084,12.525632544094893,Private room,298,1,0,,,1,0
